Time,Time Code,Country Name,Country Code,CO2 emissions (kt) [EN.ATM.CO2E.KT],"Population, total [SP.POP.TOTL]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]"
2003,YR2003,Czechia,CZE,122769.996643066,10193998,27239.5594440384
2003,YR2003,Denmark,DNK,59229.9995422363,5390574,49262.6449732556
2003,YR2003,Estonia,EST,16940.0005340576,1370720,22049.6827903416
2003,YR2003,Finland,FIN,71709.9990844727,5213014,42168.6934671901
2003,YR2003,France,FRA,376709.991455078,62256970,40425.6380520509
2003,YR2003,Germany,DEU,836789.978027344,82534176,43089.4738197519
2003,YR2003,Greece,GRC,100220.001220703,10928070,32981.3517843691
2003,YR2003,Hungary,HUN,58189.998626709,10129552,22200.1034081041
2003,YR2003,Iceland,ISL,2230.00001907349,289521,43095.3568616423
2003,YR2003,Ireland,IRL,44090.0001525879,3996521,53049.1678621127
2003,YR2003,Italy,ITA,462200.012207031,57313203,43781.2199783421
2003,YR2003,Liechtenstein,LIE,230.000004172325,34000,..
2003,YR2003,Lithuania,LTU,11229.9995422363,3415213,17839.7827376226
2003,YR2003,Luxembourg,LUX,10239.9997711182,451630,104743.000088458
2003,YR2003,Netherlands,NLD,170360.000610352,16225302,47806.8844286609
2003,YR2003,Norway,NOR,37169.9981689453,4564855,58728.1569902155
2003,YR2003,Poland,POL,297730.010986328,38204570,17324.2161873998
2003,YR2003,Portugal,PRT,60520.0004577637,10458821,30422.6020285721
2003,YR2003,Romania,ROU,98139.9993896484,21574326,14417.7199430696
2003,YR2003,San Marino,SMR,..,28601,78286.9016424402
2003,YR2003,Slovak Republic,SVK,38330.0018310547,5373374,17838.4034249237
2003,YR2003,Slovenia,SVN,15409.9998474121,1995733,28805.3851190536
2003,YR2003,Spain,ESP,318660.003662109,42187645,36729.7697105221
2003,YR2003,Sweden,SWE,55200.0007629395,8958229,42678.2841388566
2003,YR2003,Switzerland,CHE,44840.0001525879,7339001,59577.7622087745
2003,YR2003,United Kingdom,GBR,543039.978027344,59647577,41369.4959277234
2004,YR2004,Andorra,AND,560.000002384186,76933,..
2004,YR2004,Austria,AUT,75800.0030517578,8171966,48633.2718157639
