Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",CO2 emissions (kt) [EN.ATM.CO2E.KT]
1999,YR1999,Austria,AUT,7992324,45060.6187543953,63050
1999,YR1999,Belgium,BEL,10226419,41583.0973922951,115510
1999,YR1999,Croatia,HRV,4512597,17678.3897811663,18520
1999,YR1999,Czechia,CZE,10283860,23948.3850340351,111950
1999,YR1999,Denmark,DNK,5321799,47298.5373518437,56730
1999,YR1999,Estonia,EST,1390244,16215.5789517586,15290
1999,YR1999,Finland,FIN,5165474,37795.0577604714,56510
1999,YR1999,France,FRA,60504420,38490.040182087,374900
1999,YR1999,Germany,DEU,82100243,41769.8120329084,833590
1999,YR1999,Greece,GRC,10761698,28149.843755764,87400
1999,YR1999,Greenland,GRL,56100,..,..
1999,YR1999,Hungary,HUN,10237530,18531.7496543312,57910
1999,YR1999,Iceland,ISL,277381,40103.865986755,2120
1999,YR1999,Ireland,IRL,3754786,44926.5289446156,39970
1999,YR1999,Italy,ITA,56916317,41501.788369041,433010
1999,YR1999,Latvia,LVA,2390482,12174.3037617541,7550
1999,YR1999,Liechtenstein,LIE,32615,..,230
1999,YR1999,Lithuania,LTU,3524238,13259.6169504528,12250
1999,YR1999,Luxembourg,LUX,430475,94115.3840349976,7920
1999,YR1999,Monaco,MCO,32394,..,..
1999,YR1999,Netherlands,NLD,15812088,45839.1314634489,161450
1999,YR1999,Norway,NOR,4461913,55713.7558893203,39700
1999,YR1999,Poland,POL,38660271,15311.4429382645,308980
1999,YR1999,Portugal,PRT,10217828,29472.7098799307,62210
1999,YR1999,Romania,ROU,22472040,11868.7081497906,84990
1999,YR1999,San Marino,SMR,26404,75441.8387711065,..
1999,YR1999,Slovak Republic,SVK,5396020,15423.4831045824,40660
1999,YR1999,Slovenia,SVN,1983045,25421.2948966234,14910
1999,YR1999,Spain,ESP,40386875,33154.4666207698,278300
1999,YR1999,Sweden,SWE,8857874,38839.4262714954,57260
1999,YR1999,Switzerland,CHE,7143991,58021.4359714063,44530
1999,YR1999,United Kingdom,GBR,58682466,37678.6944025227,522750
2000,YR2000,Andorra,AND,66097,..,520
2000,YR2000,Austria,AUT,8011566,46469.8610601036,63530
2000,YR2000,Belgium,BEL,10251250,43024.1399101042,117270
2000,YR2000,Croatia,HRV,4468302,18364.9786763039,18040
2000,YR2000,Czechia,CZE,10255063,24976.5063182959,123170
2000,YR2000,Denmark,DNK,5339616,48907.0114021027,52600
2000,YR2000,Estonia,EST,1396985,17765.2075336124,14920
2000,YR2000,Finland,FIN,5176209,39894.1944569685,55100
2000,YR2000,France,FRA,60921384,39726.4884007159,373120
2000,YR2000,Germany,DEU,82211508,42928.1813366719,830280
2000,YR2000,Greece,GRC,10805808,29133.8394364843,94460
2000,YR2000,Greenland,GRL,56200,..,..
2000,YR2000,Hungary,HUN,10210971,19412.1834111207,54630
2000,YR2000,Iceland,ISL,281205,41530.5173238278,2230
2000,YR2000,Ireland,IRL,3805174,48500.3473666542,42530
2000,YR2000,Italy,ITA,56942108,43053.93306429,436300
2000,YR2000,Latvia,LVA,2367550,12989.8984223071,6930
2000,YR2000,Liechtenstein,LIE,33026,..,220
2000,YR2000,Lithuania,LTU,3499536,13846.6832884609,10510
2000,YR2000,Luxembourg,LUX,436300,99301.5269991515,8560
2000,YR2000,Monaco,MCO,32465,..,..
2000,YR2000,Netherlands,NLD,15925513,47422.2034047837,162100
